agente,hora,demanda
CRE - Santa Cruz,2016-01-01 01:00:00,338.15216075
CRE - Santa Cruz,2016-01-01 02:00:00,323.88037925
CRE - Santa Cruz,2016-01-01 03:00:00,307.26815899999997
CRE - Santa Cruz,2016-01-01 04:00:00,291.49131700000004
CRE - Santa Cruz,2016-01-01 05:00:00,280.83085250000005
CRE - Santa Cruz,2016-01-01 06:00:00,265.38100025
CRE - Santa Cruz,2016-01-01 07:00:00,229.47682724999999
CRE - Santa Cruz,2016-01-01 08:00:00,223.61758275
CRE - Santa Cruz,2016-01-01 09:00:00,228.96418400000002
CRE - Santa Cruz,2016-01-01 10:00:00,242.06302075000002
CRE - Santa Cruz,2016-01-01 11:00:00,259.93453975
CRE - Santa Cruz,2016-01-01 12:00:00,274.23245399999996
CRE - Santa Cruz,2016-01-01 13:00:00,282.745471
CRE - Santa Cruz,2016-01-01 14:00:00,292.765894
CRE - Santa Cruz,2016-01-01 15:00:00,298.26446275
CRE - Santa Cruz,2016-01-01 16:00:00,298.15464899999995
CRE - Santa Cruz,2016-01-01 17:00:00,288.05655275000004
CRE - Santa Cruz,2016-01-01 18:00:00,283.892091
CRE - Santa Cruz,2016-01-01 19:00:00,297.173338
CRE - Santa Cruz,2016-01-01 20:00:00,352.05022400000007
CRE - Santa Cruz,2016-01-01 21:00:00,358.52337975
CRE - Santa Cruz,2016-01-01 22:00:00,352.79480875
CRE - Santa Cruz,2016-01-01 23:00:00,335.655842
CRE - Santa Cruz,2016-01-01 23:59:00,312.323362
EMDEECRUZ,2016-01-01 01:00:00,0.00275
EMDEECRUZ,2016-01-01 02:00:00,0.00275
EMDEECRUZ,2016-01-01 03:00:00,0.003
EMDEECRUZ,2016-01-01 04:00:00,0.00275
EMDEECRUZ,2016-01-01 05:00:00,0.003
EMDEECRUZ,2016-01-01 06:00:00,0.003
EMDEECRUZ,2016-01-01 07:00:00,0.003
EMDEECRUZ,2016-01-01 08:00:00,0.003
EMDEECRUZ,2016-01-01 09:00:00,0.002
EMDEECRUZ,2016-01-01 10:00:00,0.00225
EMDEECRUZ,2016-01-01 11:00:00,0.003
EMDEECRUZ,2016-01-01 12:00:00,0.00325
EMDEECRUZ,2016-01-01 13:00:00,0.00425
EMDEECRUZ,2016-01-01 14:00:00,0.003
EMDEECRUZ,2016-01-01 15:00:00,0.00325
EMDEECRUZ,2016-01-01 16:00:00,0.0035
EMDEECRUZ,2016-01-01 17:00:00,0.0015
EMDEECRUZ,2016-01-01 18:00:00,0.00275
EMDEECRUZ,2016-01-01 19:00:00,0.00175
EMDEECRUZ,2016-01-01 20:00:00,0.00225
EMDEECRUZ,2016-01-01 21:00:00,0.00275
EMDEECRUZ,2016-01-01 22:00:00,0.00275
EMDEECRUZ,2016-01-01 23:00:00,0.00275
EMDEECRUZ,2016-01-01 23:59:00,0.003
DELAPAZ - La Paz,2016-01-01 01:00:00,205.66369925
DELAPAZ - La Paz,2016-01-01 02:00:00,184.92891550000002
DELAPAZ - La Paz,2016-01-01 03:00:00,163.12822574999998
DELAPAZ - La Paz,2016-01-01 04:00:00,151.61774075
DELAPAZ - La Paz,2016-01-01 05:00:00,147.15305475000002
DELAPAZ - La Paz,2016-01-01 06:00:00,143.71502025
DELAPAZ - La Paz,2016-01-01 07:00:00,130.3527775
DELAPAZ - La Paz,2016-01-01 08:00:00,135.1728585
DELAPAZ - La Paz,2016-01-01 09:00:00,139.4319755
DELAPAZ - La Paz,2016-01-01 10:00:00,146.77940875000002
DELAPAZ - La Paz,2016-01-01 11:00:00,150.48739275
DELAPAZ - La Paz,2016-01-01 12:00:00,154.91748800000002
DELAPAZ - La Paz,2016-01-01 13:00:00,158.48782975
DELAPAZ - La Paz,2016-01-01 14:00:00,156.09668925
DELAPAZ - La Paz,2016-01-01 15:00:00,150.554179
DELAPAZ - La Paz,2016-01-01 16:00:00,147.79758725
DELAPAZ - La Paz,2016-01-01 17:00:00,145.182736
DELAPAZ - La Paz,2016-01-01 18:00:00,145.29409475
DELAPAZ - La Paz,2016-01-01 19:00:00,151.64416975
DELAPAZ - La Paz,2016-01-01 20:00:00,190.290065
DELAPAZ - La Paz,2016-01-01 21:00:00,211.96135674999996
DELAPAZ - La Paz,2016-01-01 22:00:00,205.55196025
DELAPAZ - La Paz,2016-01-01 23:00:00,190.63738124999998
DELAPAZ - La Paz,2016-01-01 23:59:00,168.68542575
DELAPAZ - San BuenaVentura,2016-01-01 01:00:00,0.7125
DELAPAZ - San BuenaVentura,2016-01-01 02:00:00,0.6675
DELAPAZ - San BuenaVentura,2016-01-01 03:00:00,0.612495
DELAPAZ - San BuenaVentura,2016-01-01 04:00:00,0.580005
DELAPAZ - San BuenaVentura,2016-01-01 05:00:00,0.5625
DELAPAZ - San BuenaVentura,2016-01-01 06:00:00,0.5325
DELAPAZ - San BuenaVentura,2016-01-01 07:00:00,0.48001499999999997
DELAPAZ - San BuenaVentura,2016-01-01 08:00:00,0.48999000000000004
DELAPAZ - San BuenaVentura,2016-01-01 09:00:00,0.54249
DELAPAZ - San BuenaVentura,2016-01-01 10:00:00,0.5925
DELAPAZ - San BuenaVentura,2016-01-01 11:00:00,0.61251
DELAPAZ - San BuenaVentura,2016-01-01 12:00:00,0.614985
DELAPAZ - San BuenaVentura,2016-01-01 13:00:00,0.63
DELAPAZ - San BuenaVentura,2016-01-01 14:00:00,0.615
DELAPAZ - San BuenaVentura,2016-01-01 15:00:00,0.62499
DELAPAZ - San BuenaVentura,2016-01-01 16:00:00,0.6375
DELAPAZ - San BuenaVentura,2016-01-01 17:00:00,0.632505
DELAPAZ - San BuenaVentura,2016-01-01 18:00:00,0.6225
DELAPAZ - San BuenaVentura,2016-01-01 19:00:00,0.615
DELAPAZ - San BuenaVentura,2016-01-01 20:00:00,0.730005
DELAPAZ - San BuenaVentura,2016-01-01 21:00:00,0.77751
DELAPAZ - San BuenaVentura,2016-01-01 22:00:00,0.75
DELAPAZ - San BuenaVentura,2016-01-01 23:00:00,0.66
DELAPAZ - San BuenaVentura,2016-01-01 23:59:00,0.5775
DELAPAZ - Cumbre,2016-01-01 01:00:00,21.69498
