agente,hora,demanda
CRE - Santa Cruz,2019-01-01 01:00:00,332.098
CRE - Santa Cruz,2019-01-01 02:00:00,314.094
CRE - Santa Cruz,2019-01-01 03:00:00,296.085
CRE - Santa Cruz,2019-01-01 04:00:00,279.904
CRE - Santa Cruz,2019-01-01 05:00:00,267.918
CRE - Santa Cruz,2019-01-01 06:00:00,252.969
CRE - Santa Cruz,2019-01-01 07:00:00,220.494
CRE - Santa Cruz,2019-01-01 08:00:00,222.647
CRE - Santa Cruz,2019-01-01 09:00:00,229.76
CRE - Santa Cruz,2019-01-01 10:00:00,240.29
CRE - Santa Cruz,2019-01-01 11:00:00,254.062
CRE - Santa Cruz,2019-01-01 12:00:00,268.923
CRE - Santa Cruz,2019-01-01 13:00:00,282.939
CRE - Santa Cruz,2019-01-01 14:00:00,293.606
CRE - Santa Cruz,2019-01-01 15:00:00,302.14
CRE - Santa Cruz,2019-01-01 16:00:00,307.93
CRE - Santa Cruz,2019-01-01 17:00:00,312.957
CRE - Santa Cruz,2019-01-01 18:00:00,312.604
CRE - Santa Cruz,2019-01-01 19:00:00,315.236
CRE - Santa Cruz,2019-01-01 20:00:00,381.922
CRE - Santa Cruz,2019-01-01 21:00:00,392.833
CRE - Santa Cruz,2019-01-01 22:00:00,388.407
CRE - Santa Cruz,2019-01-01 23:00:00,372.22
CRE - Santa Cruz,2019-01-01 23:59:00,344.86
CRE(Las Misiones) - Santa Cruz,2019-01-01 01:00:00,3.103
CRE(Las Misiones) - Santa Cruz,2019-01-01 02:00:00,2.904
CRE(Las Misiones) - Santa Cruz,2019-01-01 03:00:00,2.73
CRE(Las Misiones) - Santa Cruz,2019-01-01 04:00:00,2.629
CRE(Las Misiones) - Santa Cruz,2019-01-01 05:00:00,2.542
CRE(Las Misiones) - Santa Cruz,2019-01-01 06:00:00,2.353
CRE(Las Misiones) - Santa Cruz,2019-01-01 07:00:00,1.959
CRE(Las Misiones) - Santa Cruz,2019-01-01 08:00:00,1.964
CRE(Las Misiones) - Santa Cruz,2019-01-01 09:00:00,2.024
CRE(Las Misiones) - Santa Cruz,2019-01-01 10:00:00,2.056
CRE(Las Misiones) - Santa Cruz,2019-01-01 11:00:00,2.163
CRE(Las Misiones) - Santa Cruz,2019-01-01 12:00:00,2.244
CRE(Las Misiones) - Santa Cruz,2019-01-01 13:00:00,2.288
CRE(Las Misiones) - Santa Cruz,2019-01-01 14:00:00,2.332
CRE(Las Misiones) - Santa Cruz,2019-01-01 15:00:00,2.351
CRE(Las Misiones) - Santa Cruz,2019-01-01 16:00:00,2.439
CRE(Las Misiones) - Santa Cruz,2019-01-01 17:00:00,2.459
CRE(Las Misiones) - Santa Cruz,2019-01-01 18:00:00,2.42
CRE(Las Misiones) - Santa Cruz,2019-01-01 19:00:00,2.46
CRE(Las Misiones) - Santa Cruz,2019-01-01 20:00:00,3.297
CRE(Las Misiones) - Santa Cruz,2019-01-01 21:00:00,3.365
CRE(Las Misiones) - Santa Cruz,2019-01-01 22:00:00,3.21
CRE(Las Misiones) - Santa Cruz,2019-01-01 23:00:00,3.002
CRE(Las Misiones) - Santa Cruz,2019-01-01 23:59:00,2.836
EMDEECRUZ,2019-01-01 01:00:00,0.386
EMDEECRUZ,2019-01-01 02:00:00,0.384
EMDEECRUZ,2019-01-01 03:00:00,0.392
EMDEECRUZ,2019-01-01 04:00:00,0.395
EMDEECRUZ,2019-01-01 05:00:00,0.381
EMDEECRUZ,2019-01-01 06:00:00,0.37
EMDEECRUZ,2019-01-01 07:00:00,0.322
EMDEECRUZ,2019-01-01 08:00:00,0.308
EMDEECRUZ,2019-01-01 09:00:00,0.315
EMDEECRUZ,2019-01-01 10:00:00,0.304
EMDEECRUZ,2019-01-01 11:00:00,0.308
EMDEECRUZ,2019-01-01 12:00:00,0.313
EMDEECRUZ,2019-01-01 13:00:00,0.324
EMDEECRUZ,2019-01-01 14:00:00,0.328
EMDEECRUZ,2019-01-01 15:00:00,0.336
EMDEECRUZ,2019-01-01 16:00:00,0.341
EMDEECRUZ,2019-01-01 17:00:00,0.353
EMDEECRUZ,2019-01-01 18:00:00,0.354
EMDEECRUZ,2019-01-01 19:00:00,0.37
EMDEECRUZ,2019-01-01 20:00:00,0.408
EMDEECRUZ,2019-01-01 21:00:00,0.407
