agente,hora,demanda
CRE - Santa Cruz,2020-01-01 01:00:00,354.607
CRE - Santa Cruz,2020-01-01 02:00:00,340.072
CRE - Santa Cruz,2020-01-01 03:00:00,322.447
CRE - Santa Cruz,2020-01-01 04:00:00,307.551
CRE - Santa Cruz,2020-01-01 05:00:00,297.398
CRE - Santa Cruz,2020-01-01 06:00:00,278.514
CRE - Santa Cruz,2020-01-01 07:00:00,244.211
CRE - Santa Cruz,2020-01-01 08:00:00,250.058
CRE - Santa Cruz,2020-01-01 09:00:00,268.323
CRE - Santa Cruz,2020-01-01 10:00:00,289.086
CRE - Santa Cruz,2020-01-01 11:00:00,306.073
CRE - Santa Cruz,2020-01-01 12:00:00,326.511
CRE - Santa Cruz,2020-01-01 13:00:00,345.188
CRE - Santa Cruz,2020-01-01 14:00:00,355.995
CRE - Santa Cruz,2020-01-01 15:00:00,366.672
CRE - Santa Cruz,2020-01-01 16:00:00,372.32
CRE - Santa Cruz,2020-01-01 17:00:00,359.106
CRE - Santa Cruz,2020-01-01 18:00:00,348.743
CRE - Santa Cruz,2020-01-01 19:00:00,347.544
CRE - Santa Cruz,2020-01-01 20:00:00,403.507
CRE - Santa Cruz,2020-01-01 21:00:00,413.072
CRE - Santa Cruz,2020-01-01 22:00:00,408.61
CRE - Santa Cruz,2020-01-01 23:00:00,394.794
CRE - Santa Cruz,2020-01-01 23:59:00,369.961
CRE(Las Misiones) - Santa Cruz,2020-01-01 01:00:00,3.692
CRE(Las Misiones) - Santa Cruz,2020-01-01 02:00:00,3.443
CRE(Las Misiones) - Santa Cruz,2020-01-01 03:00:00,3.403
CRE(Las Misiones) - Santa Cruz,2020-01-01 04:00:00,3.323
CRE(Las Misiones) - Santa Cruz,2020-01-01 05:00:00,3.234
CRE(Las Misiones) - Santa Cruz,2020-01-01 06:00:00,2.962
CRE(Las Misiones) - Santa Cruz,2020-01-01 07:00:00,2.525
CRE(Las Misiones) - Santa Cruz,2020-01-01 08:00:00,2.551
CRE(Las Misiones) - Santa Cruz,2020-01-01 09:00:00,2.62
CRE(Las Misiones) - Santa Cruz,2020-01-01 10:00:00,2.619
CRE(Las Misiones) - Santa Cruz,2020-01-01 11:00:00,2.805
CRE(Las Misiones) - Santa Cruz,2020-01-01 12:00:00,2.897
CRE(Las Misiones) - Santa Cruz,2020-01-01 13:00:00,3.01
CRE(Las Misiones) - Santa Cruz,2020-01-01 14:00:00,3.108
CRE(Las Misiones) - Santa Cruz,2020-01-01 15:00:00,3.231
CRE(Las Misiones) - Santa Cruz,2020-01-01 16:00:00,3.213
CRE(Las Misiones) - Santa Cruz,2020-01-01 17:00:00,3.198
CRE(Las Misiones) - Santa Cruz,2020-01-01 18:00:00,3.109
CRE(Las Misiones) - Santa Cruz,2020-01-01 19:00:00,3.32
CRE(Las Misiones) - Santa Cruz,2020-01-01 20:00:00,4.163
CRE(Las Misiones) - Santa Cruz,2020-01-01 21:00:00,4.236
CRE(Las Misiones) - Santa Cruz,2020-01-01 22:00:00,4.069
CRE(Las Misiones) - Santa Cruz,2020-01-01 23:00:00,3.853
CRE(Las Misiones) - Santa Cruz,2020-01-01 23:59:00,3.657
EMDEECRUZ,2020-01-01 01:00:00,0.471
EMDEECRUZ,2020-01-01 02:00:00,0.472
EMDEECRUZ,2020-01-01 03:00:00,0.469
EMDEECRUZ,2020-01-01 04:00:00,0.485
EMDEECRUZ,2020-01-01 05:00:00,0.469
EMDEECRUZ,2020-01-01 06:00:00,0.44
EMDEECRUZ,2020-01-01 07:00:00,0.384
EMDEECRUZ,2020-01-01 08:00:00,0.375
EMDEECRUZ,2020-01-01 09:00:00,0.412
EMDEECRUZ,2020-01-01 10:00:00,0.432
EMDEECRUZ,2020-01-01 11:00:00,0.445
EMDEECRUZ,2020-01-01 12:00:00,0.425
EMDEECRUZ,2020-01-01 13:00:00,0.414
EMDEECRUZ,2020-01-01 14:00:00,0.419
EMDEECRUZ,2020-01-01 15:00:00,0.413
EMDEECRUZ,2020-01-01 16:00:00,0.428
EMDEECRUZ,2020-01-01 17:00:00,0.414
EMDEECRUZ,2020-01-01 18:00:00,0.401
EMDEECRUZ,2020-01-01 19:00:00,0.413
EMDEECRUZ,2020-01-01 20:00:00,0.479
EMDEECRUZ,2020-01-01 21:00:00,0.481
EMDEECRUZ,2020-01-01 22:00:00,0.478
EMDEECRUZ,2020-01-01 23:00:00,0.56
EMDEECRUZ,2020-01-01 23:59:00,0.59
DELAPAZ - La Paz,2020-01-01 01:00:00,179.404
DELAPAZ - La Paz,2020-01-01 02:00:00,161.061
DELAPAZ - La Paz,2020-01-01 03:00:00,144.351
DELAPAZ - La Paz,2020-01-01 04:00:00,137.871
DELAPAZ - La Paz,2020-01-01 05:00:00,135.225
DELAPAZ - La Paz,2020-01-01 06:00:00,134.966
DELAPAZ - La Paz,2020-01-01 07:00:00,117.4
DELAPAZ - La Paz,2020-01-01 08:00:00,118.976
DELAPAZ - La Paz,2020-01-01 09:00:00,125.44
DELAPAZ - La Paz,2020-01-01 10:00:00,132.391
DELAPAZ - La Paz,2020-01-01 11:00:00,137.441
DELAPAZ - La Paz,2020-01-01 12:00:00,140.201
DELAPAZ - La Paz,2020-01-01 13:00:00,139.635
DELAPAZ - La Paz,2020-01-01 14:00:00,136.72
DELAPAZ - La Paz,2020-01-01 15:00:00,136.461
DELAPAZ - La Paz,2020-01-01 16:00:00,135.298
DELAPAZ - La Paz,2020-01-01 17:00:00,135.832
DELAPAZ - La Paz,2020-01-01 18:00:00,136.871
DELAPAZ - La Paz,2020-01-01 19:00:00,144.146
DELAPAZ - La Paz,2020-01-01 20:00:00,178.608
DELAPAZ - La Paz,2020-01-01 21:00:00,195.876
DELAPAZ - La Paz,2020-01-01 22:00:00,188.184
DELAPAZ - La Paz,2020-01-01 23:00:00,171.776
DELAPAZ - La Paz,2020-01-01 23:59:00,155.608
DELAPAZ - San Buenaventura,2020-01-01 01:00:00,0.824
DELAPAZ - San Buenaventura,2020-01-01 02:00:00,0.774
DELAPAZ - San Buenaventura,2020-01-01 03:00:00,0.709
DELAPAZ - San Buenaventura,2020-01-01 04:00:00,0.667
DELAPAZ - San Buenaventura,2020-01-01 05:00:00,0.637
DELAPAZ - San Buenaventura,2020-01-01 06:00:00,0.606
DELAPAZ - San Buenaventura,2020-01-01 07:00:00,0.543
DELAPAZ - San Buenaventura,2020-01-01 08:00:00,0.513
DELAPAZ - San Buenaventura,2020-01-01 09:00:00,0.52
DELAPAZ - San Buenaventura,2020-01-01 10:00:00,0.533
DELAPAZ - San Buenaventura,2020-01-01 11:00:00,0.548
DELAPAZ - San Buenaventura,2020-01-01 12:00:00,0.577
DELAPAZ - San Buenaventura,2020-01-01 13:00:00,0.586
DELAPAZ - San Buenaventura,2020-01-01 14:00:00,0.599
DELAPAZ - San Buenaventura,2020-01-01 15:00:00,0.598
DELAPAZ - San Buenaventura,2020-01-01 16:00:00,0.6
DELAPAZ - San Buenaventura,2020-01-01 17:00:00,0.61
DELAPAZ - San Buenaventura,2020-01-01 18:00:00,0.655
DELAPAZ - San Buenaventura,2020-01-01 19:00:00,0.737
DELAPAZ - San Buenaventura,2020-01-01 20:00:00,0.844
DELAPAZ - San Buenaventura,2020-01-01 21:00:00,0.853
DELAPAZ - San Buenaventura,2020-01-01 22:00:00,0.799
DELAPAZ - San Buenaventura,2020-01-01 23:00:00,0.718
DELAPAZ - San Buenaventura,2020-01-01 23:59:00,0.628
DELAPAZ - Cumbre,2020-01-01 01:00:00,64.799
DELAPAZ - Cumbre,2020-01-01 02:00:00,49.29
DELAPAZ - Cumbre,2020-01-01 03:00:00,34.821
DELAPAZ - Cumbre,2020-01-01 04:00:00,26.856
DELAPAZ - Cumbre,2020-01-01 05:00:00,22.834
DELAPAZ - Cumbre,2020-01-01 06:00:00,21.182
DELAPAZ - Cumbre,2020-01-01 07:00:00,22.381
DELAPAZ - Cumbre,2020-01-01 08:00:00,23.362
DELAPAZ - Cumbre,2020-01-01 09:00:00,27.898
DELAPAZ - Cumbre,2020-01-01 10:00:00,33.628
DELAPAZ - Cumbre,2020-01-01 11:00:00,39.758
DELAPAZ - Cumbre,2020-01-01 12:00:00,44.07
DELAPAZ - Cumbre,2020-01-01 13:00:00,47.629
DELAPAZ - Cumbre,2020-01-01 14:00:00,45.75
DELAPAZ - Cumbre,2020-01-01 15:00:00,42.352
DELAPAZ - Cumbre,2020-01-01 16:00:00,40.409
DELAPAZ - Cumbre,2020-01-01 17:00:00,40.081
DELAPAZ - Cumbre,2020-01-01 18:00:00,42.325
DELAPAZ - Cumbre,2020-01-01 19:00:00,47.359
DELAPAZ - Cumbre,2020-01-01 20:00:00,66.57
DELAPAZ - Cumbre,2020-01-01 21:00:00,70.697
DELAPAZ - Cumbre,2020-01-01 22:00:00,63.762
DELAPAZ - Cumbre,2020-01-01 23:00:00,51.637
DELAPAZ - Cumbre,2020-01-01 23:59:00,34.594
ELFEC - Cochabamba,2020-01-01 01:00:00,155.545
ELFEC - Cochabamba,2020-01-01 02:00:00,141.574
ELFEC - Cochabamba,2020-01-01 03:00:00,128.811
ELFEC - Cochabamba,2020-01-01 04:00:00,120.665
ELFEC - Cochabamba,2020-01-01 05:00:00,115.826
ELFEC - Cochabamba,2020-01-01 06:00:00,113.25
ELFEC - Cochabamba,2020-01-01 07:00:00,93.778
ELFEC - Cochabamba,2020-01-01 08:00:00,92.565
ELFEC - Cochabamba,2020-01-01 09:00:00,97.15
ELFEC - Cochabamba,2020-01-01 10:00:00,102.475
ELFEC - Cochabamba,2020-01-01 11:00:00,106.398
ELFEC - Cochabamba,2020-01-01 12:00:00,110.353
ELFEC - Cochabamba,2020-01-01 13:00:00,112.538
