agente,hora,demanda
CRE - Santa Cruz,2018-01-01 01:00:00,355.713
CRE - Santa Cruz,2018-01-01 02:00:00,339.781
CRE - Santa Cruz,2018-01-01 03:00:00,319.528
CRE - Santa Cruz,2018-01-01 04:00:00,303.13
CRE - Santa Cruz,2018-01-01 05:00:00,291.038
CRE - Santa Cruz,2018-01-01 06:00:00,274.041
CRE - Santa Cruz,2018-01-01 07:00:00,235.653
CRE - Santa Cruz,2018-01-01 08:00:00,233.244
CRE - Santa Cruz,2018-01-01 09:00:00,237.273
CRE - Santa Cruz,2018-01-01 10:00:00,244.984
CRE - Santa Cruz,2018-01-01 11:00:00,255.041
CRE - Santa Cruz,2018-01-01 12:00:00,265.57
CRE - Santa Cruz,2018-01-01 13:00:00,271.861
CRE - Santa Cruz,2018-01-01 14:00:00,277.843
CRE - Santa Cruz,2018-01-01 15:00:00,285.087
CRE - Santa Cruz,2018-01-01 16:00:00,289.221
CRE - Santa Cruz,2018-01-01 17:00:00,287.639
CRE - Santa Cruz,2018-01-01 18:00:00,286.144
CRE - Santa Cruz,2018-01-01 19:00:00,302.359
CRE - Santa Cruz,2018-01-01 20:00:00,363.012
CRE - Santa Cruz,2018-01-01 21:00:00,374.635
CRE - Santa Cruz,2018-01-01 22:00:00,370.975
CRE - Santa Cruz,2018-01-01 23:00:00,351.711
CRE - Santa Cruz,2018-01-01 23:59:00,318.67
EMDEECRUZ,2018-01-01 01:00:00,0.228
EMDEECRUZ,2018-01-01 02:00:00,0.229
EMDEECRUZ,2018-01-01 03:00:00,0.215
EMDEECRUZ,2018-01-01 04:00:00,0.21
EMDEECRUZ,2018-01-01 05:00:00,0.214
EMDEECRUZ,2018-01-01 06:00:00,0.198
EMDEECRUZ,2018-01-01 07:00:00,0.17
EMDEECRUZ,2018-01-01 08:00:00,0.17
EMDEECRUZ,2018-01-01 09:00:00,0.163
EMDEECRUZ,2018-01-01 10:00:00,0.17
EMDEECRUZ,2018-01-01 11:00:00,0.174
EMDEECRUZ,2018-01-01 12:00:00,0.193
EMDEECRUZ,2018-01-01 13:00:00,0.192
EMDEECRUZ,2018-01-01 14:00:00,0.187
EMDEECRUZ,2018-01-01 15:00:00,0.195
EMDEECRUZ,2018-01-01 16:00:00,0.193
EMDEECRUZ,2018-01-01 17:00:00,0.185
EMDEECRUZ,2018-01-01 18:00:00,0.192
EMDEECRUZ,2018-01-01 19:00:00,0.195
EMDEECRUZ,2018-01-01 20:00:00,0.221
EMDEECRUZ,2018-01-01 21:00:00,0.222
EMDEECRUZ,2018-01-01 22:00:00,0.213
EMDEECRUZ,2018-01-01 23:00:00,0.222
EMDEECRUZ,2018-01-01 23:59:00,0.212
DELAPAZ - La Paz,2018-01-01 01:00:00,186.116
DELAPAZ - La Paz,2018-01-01 02:00:00,165.893
DELAPAZ - La Paz,2018-01-01 03:00:00,142.719
DELAPAZ - La Paz,2018-01-01 04:00:00,129.121
DELAPAZ - La Paz,2018-01-01 05:00:00,122.875
DELAPAZ - La Paz,2018-01-01 06:00:00,122.218
DELAPAZ - La Paz,2018-01-01 07:00:00,111.034
DELAPAZ - La Paz,2018-01-01 08:00:00,114.592
DELAPAZ - La Paz,2018-01-01 09:00:00,120.422
