agente,hora,demanda
CRE - Santa Cruz,2023-01-01 01:00:00,404.473
CRE - Santa Cruz,2023-01-01 02:00:00,393.097
CRE - Santa Cruz,2023-01-01 03:00:00,377.511
CRE - Santa Cruz,2023-01-01 04:00:00,360.854
CRE - Santa Cruz,2023-01-01 05:00:00,348.595
CRE - Santa Cruz,2023-01-01 06:00:00,332.357
CRE - Santa Cruz,2023-01-01 07:00:00,298.626
CRE - Santa Cruz,2023-01-01 08:00:00,297.457
CRE - Santa Cruz,2023-01-01 09:00:00,305.891
CRE - Santa Cruz,2023-01-01 10:00:00,325.464
CRE - Santa Cruz,2023-01-01 11:00:00,351.918
CRE - Santa Cruz,2023-01-01 12:00:00,376.09
CRE - Santa Cruz,2023-01-01 13:00:00,393.905
CRE - Santa Cruz,2023-01-01 14:00:00,411.023
CRE - Santa Cruz,2023-01-01 15:00:00,424.427
CRE - Santa Cruz,2023-01-01 16:00:00,436.12
CRE - Santa Cruz,2023-01-01 17:00:00,438.772
CRE - Santa Cruz,2023-01-01 18:00:00,429.362
CRE - Santa Cruz,2023-01-01 19:00:00,418.565
CRE - Santa Cruz,2023-01-01 20:00:00,468.285
CRE - Santa Cruz,2023-01-01 21:00:00,475.408
CRE - Santa Cruz,2023-01-01 22:00:00,472.334
CRE - Santa Cruz,2023-01-01 23:00:00,461.599
CRE - Santa Cruz,2023-01-01 23:59:00,441.011
CRE(Sist. Aislados) - S. Cruz,2023-01-01 01:00:00,15.504
CRE(Sist. Aislados) - S. Cruz,2023-01-01 02:00:00,14.679
CRE(Sist. Aislados) - S. Cruz,2023-01-01 03:00:00,14.04
CRE(Sist. Aislados) - S. Cruz,2023-01-01 04:00:00,13.533
CRE(Sist. Aislados) - S. Cruz,2023-01-01 05:00:00,13.035
CRE(Sist. Aislados) - S. Cruz,2023-01-01 06:00:00,11.994
CRE(Sist. Aislados) - S. Cruz,2023-01-01 07:00:00,10.367
CRE(Sist. Aislados) - S. Cruz,2023-01-01 08:00:00,10.368
CRE(Sist. Aislados) - S. Cruz,2023-01-01 09:00:00,10.835
CRE(Sist. Aislados) - S. Cruz,2023-01-01 10:00:00,11.316
CRE(Sist. Aislados) - S. Cruz,2023-01-01 11:00:00,12.023
CRE(Sist. Aislados) - S. Cruz,2023-01-01 12:00:00,12.867
CRE(Sist. Aislados) - S. Cruz,2023-01-01 13:00:00,13.381
CRE(Sist. Aislados) - S. Cruz,2023-01-01 14:00:00,13.788
CRE(Sist. Aislados) - S. Cruz,2023-01-01 15:00:00,14.476
CRE(Sist. Aislados) - S. Cruz,2023-01-01 16:00:00,14.572
CRE(Sist. Aislados) - S. Cruz,2023-01-01 17:00:00,14.477
CRE(Sist. Aislados) - S. Cruz,2023-01-01 18:00:00,14.229
CRE(Sist. Aislados) - S. Cruz,2023-01-01 19:00:00,14.632
CRE(Sist. Aislados) - S. Cruz,2023-01-01 20:00:00,18.191
CRE(Sist. Aislados) - S. Cruz,2023-01-01 21:00:00,18.543
CRE(Sist. Aislados) - S. Cruz,2023-01-01 22:00:00,17.975
CRE(Sist. Aislados) - S. Cruz,2023-01-01 23:00:00,17.275
CRE(Sist. Aislados) - S. Cruz,2023-01-01 23:59:00,15.404
EMDEECRUZ,2023-01-01 01:00:00,0.855
EMDEECRUZ,2023-01-01 02:00:00,0.856
EMDEECRUZ,2023-01-01 03:00:00,0.866
EMDEECRUZ,2023-01-01 04:00:00,0.87
EMDEECRUZ,2023-01-01 05:00:00,0.88
EMDEECRUZ,2023-01-01 06:00:00,0.844
EMDEECRUZ,2023-01-01 07:00:00,0.784
EMDEECRUZ,2023-01-01 08:00:00,0.75
EMDEECRUZ,2023-01-01 09:00:00,0.735
EMDEECRUZ,2023-01-01 10:00:00,0.848
EMDEECRUZ,2023-01-01 11:00:00,0.89
EMDEECRUZ,2023-01-01 12:00:00,0.794
EMDEECRUZ,2023-01-01 13:00:00,0.808
EMDEECRUZ,2023-01-01 14:00:00,0.853
EMDEECRUZ,2023-01-01 15:00:00,0.909
EMDEECRUZ,2023-01-01 16:00:00,0.836
EMDEECRUZ,2023-01-01 17:00:00,0.825
EMDEECRUZ,2023-01-01 18:00:00,0.797
EMDEECRUZ,2023-01-01 19:00:00,0.788
EMDEECRUZ,2023-01-01 20:00:00,0.852
EMDEECRUZ,2023-01-01 21:00:00,0.849
EMDEECRUZ,2023-01-01 22:00:00,0.829
EMDEECRUZ,2023-01-01 23:00:00,0.808
EMDEECRUZ,2023-01-01 23:59:00,0.797
DELAPAZ - La Paz,2023-01-01 01:00:00,179.775
DELAPAZ - La Paz,2023-01-01 02:00:00,161.683
DELAPAZ - La Paz,2023-01-01 03:00:00,143.048
DELAPAZ - La Paz,2023-01-01 04:00:00,136.135
DELAPAZ - La Paz,2023-01-01 05:00:00,131.624
DELAPAZ - La Paz,2023-01-01 06:00:00,129.725
DELAPAZ - La Paz,2023-01-01 07:00:00,119.975
DELAPAZ - La Paz,2023-01-01 08:00:00,124.991
DELAPAZ - La Paz,2023-01-01 09:00:00,133.275
DELAPAZ - La Paz,2023-01-01 10:00:00,133.76
DELAPAZ - La Paz,2023-01-01 11:00:00,139.042
DELAPAZ - La Paz,2023-01-01 12:00:00,139.171
DELAPAZ - La Paz,2023-01-01 13:00:00,139.45
DELAPAZ - La Paz,2023-01-01 14:00:00,138.703
DELAPAZ - La Paz,2023-01-01 15:00:00,142.095
DELAPAZ - La Paz,2023-01-01 16:00:00,141.207
DELAPAZ - La Paz,2023-01-01 17:00:00,141.103
DELAPAZ - La Paz,2023-01-01 18:00:00,142.065
DELAPAZ - La Paz,2023-01-01 19:00:00,152.341
DELAPAZ - La Paz,2023-01-01 20:00:00,181.517
DELAPAZ - La Paz,2023-01-01 21:00:00,190.956
DELAPAZ - La Paz,2023-01-01 22:00:00,183.308
DELAPAZ - La Paz,2023-01-01 23:00:00,167.737
DELAPAZ - La Paz,2023-01-01 23:59:00,151.634
DELAPAZ - San Buenaventura,2023-01-01 01:00:00,1.007
DELAPAZ - San Buenaventura,2023-01-01 02:00:00,0.952
DELAPAZ - San Buenaventura,2023-01-01 03:00:00,0.87
DELAPAZ - San Buenaventura,2023-01-01 04:00:00,0.816
DELAPAZ - San Buenaventura,2023-01-01 05:00:00,0.785
DELAPAZ - San Buenaventura,2023-01-01 06:00:00,0.754
DELAPAZ - San Buenaventura,2023-01-01 07:00:00,0.664
DELAPAZ - San Buenaventura,2023-01-01 08:00:00,0.651
DELAPAZ - San Buenaventura,2023-01-01 09:00:00,0.674
DELAPAZ - San Buenaventura,2023-01-01 10:00:00,0.729
DELAPAZ - San Buenaventura,2023-01-01 11:00:00,0.748
DELAPAZ - San Buenaventura,2023-01-01 12:00:00,0.768
DELAPAZ - San Buenaventura,2023-01-01 13:00:00,0.816
DELAPAZ - San Buenaventura,2023-01-01 14:00:00,0.835
DELAPAZ - San Buenaventura,2023-01-01 15:00:00,0.841
DELAPAZ - San Buenaventura,2023-01-01 16:00:00,0.843
