agente,hora,demanda
CRE - Santa Cruz,2017-01-01 01:00:00,337.465
CRE - Santa Cruz,2017-01-01 02:00:00,320.587
CRE - Santa Cruz,2017-01-01 03:00:00,300.32
CRE - Santa Cruz,2017-01-01 04:00:00,286.057
CRE - Santa Cruz,2017-01-01 05:00:00,275.28
CRE - Santa Cruz,2017-01-01 06:00:00,250.677
CRE - Santa Cruz,2017-01-01 07:00:00,223.293
CRE - Santa Cruz,2017-01-01 08:00:00,224.791
CRE - Santa Cruz,2017-01-01 09:00:00,232.495
CRE - Santa Cruz,2017-01-01 10:00:00,245.696
CRE - Santa Cruz,2017-01-01 11:00:00,266.621
CRE - Santa Cruz,2017-01-01 12:00:00,281.353
CRE - Santa Cruz,2017-01-01 13:00:00,291.882
CRE - Santa Cruz,2017-01-01 14:00:00,301.322
CRE - Santa Cruz,2017-01-01 15:00:00,311.918
CRE - Santa Cruz,2017-01-01 16:00:00,318.255
CRE - Santa Cruz,2017-01-01 17:00:00,318.776
CRE - Santa Cruz,2017-01-01 18:00:00,316.159
CRE - Santa Cruz,2017-01-01 19:00:00,318.056
CRE - Santa Cruz,2017-01-01 20:00:00,377.86
CRE - Santa Cruz,2017-01-01 21:00:00,378.921
CRE - Santa Cruz,2017-01-01 22:00:00,375.276
CRE - Santa Cruz,2017-01-01 23:00:00,358.971
CRE - Santa Cruz,2017-01-01 23:59:00,329.166
EMDEECRUZ,2017-01-01 01:00:00,0.121
EMDEECRUZ,2017-01-01 02:00:00,0.119
EMDEECRUZ,2017-01-01 03:00:00,0.118
EMDEECRUZ,2017-01-01 04:00:00,0.113
EMDEECRUZ,2017-01-01 05:00:00,0.117
EMDEECRUZ,2017-01-01 06:00:00,0.111
EMDEECRUZ,2017-01-01 07:00:00,0.086
EMDEECRUZ,2017-01-01 08:00:00,0.091
EMDEECRUZ,2017-01-01 09:00:00,0.086
EMDEECRUZ,2017-01-01 10:00:00,0.086
EMDEECRUZ,2017-01-01 11:00:00,0.089
EMDEECRUZ,2017-01-01 12:00:00,0.089
EMDEECRUZ,2017-01-01 13:00:00,0.089
EMDEECRUZ,2017-01-01 14:00:00,0.089
EMDEECRUZ,2017-01-01 15:00:00,0.095
EMDEECRUZ,2017-01-01 16:00:00,0.09
EMDEECRUZ,2017-01-01 17:00:00,0.091
EMDEECRUZ,2017-01-01 18:00:00,0.093
EMDEECRUZ,2017-01-01 19:00:00,0.102
EMDEECRUZ,2017-01-01 20:00:00,0.12
EMDEECRUZ,2017-01-01 21:00:00,0.12
EMDEECRUZ,2017-01-01 22:00:00,0.118
EMDEECRUZ,2017-01-01 23:00:00,0.121
EMDEECRUZ,2017-01-01 23:59:00,0.124
DELAPAZ - La Paz,2017-01-01 01:00:00,164.192
DELAPAZ - La Paz,2017-01-01 02:00:00,145.522
