agente,hora,demanda
CRE - Santa Cruz,2015-01-01 01:00:00,309.7
CRE - Santa Cruz,2015-01-01 02:00:00,293.9
CRE - Santa Cruz,2015-01-01 03:00:00,276.9
CRE - Santa Cruz,2015-01-01 04:00:00,262.4
CRE - Santa Cruz,2015-01-01 05:00:00,251.6
CRE - Santa Cruz,2015-01-01 06:00:00,233.6
CRE - Santa Cruz,2015-01-01 07:00:00,203.3
CRE - Santa Cruz,2015-01-01 08:00:00,202.6
CRE - Santa Cruz,2015-01-01 09:00:00,207.5
CRE - Santa Cruz,2015-01-01 10:00:00,216.1
CRE - Santa Cruz,2015-01-01 11:00:00,229.3
CRE - Santa Cruz,2015-01-01 12:00:00,242.3
CRE - Santa Cruz,2015-01-01 13:00:00,251.8
CRE - Santa Cruz,2015-01-01 14:00:00,259.1
CRE - Santa Cruz,2015-01-01 15:00:00,264.5
CRE - Santa Cruz,2015-01-01 16:00:00,265.2
CRE - Santa Cruz,2015-01-01 17:00:00,266.2
CRE - Santa Cruz,2015-01-01 18:00:00,258.1
CRE - Santa Cruz,2015-01-01 19:00:00,261.6
CRE - Santa Cruz,2015-01-01 20:00:00,318.4
CRE - Santa Cruz,2015-01-01 21:00:00,331.0
CRE - Santa Cruz,2015-01-01 22:00:00,323.0
CRE - Santa Cruz,2015-01-01 23:00:00,308.2
CRE - Santa Cruz,2015-01-01 23:59:00,283.3
DELAPAZ - La Paz,2015-01-01 01:00:00,224.7
DELAPAZ - La Paz,2015-01-01 02:00:00,188.7
DELAPAZ - La Paz,2015-01-01 03:00:00,156.0
DELAPAZ - La Paz,2015-01-01 04:00:00,139.4
DELAPAZ - La Paz,2015-01-01 05:00:00,132.3
DELAPAZ - La Paz,2015-01-01 06:00:00,129.8
DELAPAZ - La Paz,2015-01-01 07:00:00,113.8
DELAPAZ - La Paz,2015-01-01 08:00:00,119.3
DELAPAZ - La Paz,2015-01-01 09:00:00,130.5
DELAPAZ - La Paz,2015-01-01 10:00:00,143.5
DELAPAZ - La Paz,2015-01-01 11:00:00,153.5
DELAPAZ - La Paz,2015-01-01 12:00:00,157.1
DELAPAZ - La Paz,2015-01-01 13:00:00,155.3
DELAPAZ - La Paz,2015-01-01 14:00:00,152.7
DELAPAZ - La Paz,2015-01-01 15:00:00,147.8
DELAPAZ - La Paz,2015-01-01 16:00:00,146.4
DELAPAZ - La Paz,2015-01-01 17:00:00,149.2
DELAPAZ - La Paz,2015-01-01 18:00:00,153.0
DELAPAZ - La Paz,2015-01-01 19:00:00,160.7
DELAPAZ - La Paz,2015-01-01 20:00:00,206.1
DELAPAZ - La Paz,2015-01-01 21:00:00,227.3
DELAPAZ - La Paz,2015-01-01 22:00:00,216.3
DELAPAZ - La Paz,2015-01-01 23:00:00,189.9
DELAPAZ - La Paz,2015-01-01 23:59:00,159.4
ELFEC - Cochabamba,2015-01-01 01:00:00,148.8
ELFEC - Cochabamba,2015-01-01 02:00:00,133.0
ELFEC - Cochabamba,2015-01-01 03:00:00,119.3
ELFEC - Cochabamba,2015-01-01 04:00:00,110.3
ELFEC - Cochabamba,2015-01-01 05:00:00,105.3
ELFEC - Cochabamba,2015-01-01 06:00:00,99.3
ELFEC - Cochabamba,2015-01-01 07:00:00,83.3
ELFEC - Cochabamba,2015-01-01 08:00:00,85.5
ELFEC - Cochabamba,2015-01-01 09:00:00,91.1
ELFEC - Cochabamba,2015-01-01 10:00:00,96.9
ELFEC - Cochabamba,2015-01-01 11:00:00,101.5
ELFEC - Cochabamba,2015-01-01 12:00:00,104.2
ELFEC - Cochabamba,2015-01-01 13:00:00,103.5
ELFEC - Cochabamba,2015-01-01 14:00:00,101.2
ELFEC - Cochabamba,2015-01-01 15:00:00,100.0
ELFEC - Cochabamba,2015-01-01 16:00:00,99.2
ELFEC - Cochabamba,2015-01-01 17:00:00,98.1
ELFEC - Cochabamba,2015-01-01 18:00:00,98.7
ELFEC - Cochabamba,2015-01-01 19:00:00,105.0
ELFEC - Cochabamba,2015-01-01 20:00:00,143.3
ELFEC - Cochabamba,2015-01-01 21:00:00,156.2
ELFEC - Cochabamba,2015-01-01 22:00:00,148.9
