agente,hora,demanda
CRE - Santa Cruz,2024-01-01 01:00:00,407.49
CRE - Santa Cruz,2024-01-01 02:00:00,395.228
CRE - Santa Cruz,2024-01-01 03:00:00,378.474
CRE - Santa Cruz,2024-01-01 04:00:00,362.441
CRE - Santa Cruz,2024-01-01 05:00:00,349.997
CRE - Santa Cruz,2024-01-01 06:00:00,330.525
CRE - Santa Cruz,2024-01-01 07:00:00,297.655
CRE - Santa Cruz,2024-01-01 08:00:00,299.713
CRE - Santa Cruz,2024-01-01 09:00:00,311.154
CRE - Santa Cruz,2024-01-01 10:00:00,336.225
CRE - Santa Cruz,2024-01-01 11:00:00,366.307
CRE - Santa Cruz,2024-01-01 12:00:00,393.35
CRE - Santa Cruz,2024-01-01 13:00:00,413.457
CRE - Santa Cruz,2024-01-01 14:00:00,430.382
CRE - Santa Cruz,2024-01-01 15:00:00,445.64
CRE - Santa Cruz,2024-01-01 16:00:00,453.684
CRE - Santa Cruz,2024-01-01 17:00:00,452.105
CRE - Santa Cruz,2024-01-01 18:00:00,442.893
CRE - Santa Cruz,2024-01-01 19:00:00,431.266
CRE - Santa Cruz,2024-01-01 20:00:00,476.094
CRE - Santa Cruz,2024-01-01 21:00:00,483.617
CRE - Santa Cruz,2024-01-01 22:00:00,482.123
CRE - Santa Cruz,2024-01-01 23:00:00,475.113
CRE - Santa Cruz,2024-01-01 23:59:00,455.758
CRE(Sist. Aislados) - S. Cruz,2024-01-01 01:00:00,17.195
CRE(Sist. Aislados) - S. Cruz,2024-01-01 02:00:00,16.683
CRE(Sist. Aislados) - S. Cruz,2024-01-01 03:00:00,15.969
CRE(Sist. Aislados) - S. Cruz,2024-01-01 04:00:00,15.323
CRE(Sist. Aislados) - S. Cruz,2024-01-01 05:00:00,14.83
CRE(Sist. Aislados) - S. Cruz,2024-01-01 06:00:00,13.579
CRE(Sist. Aislados) - S. Cruz,2024-01-01 07:00:00,11.791
CRE(Sist. Aislados) - S. Cruz,2024-01-01 08:00:00,11.774
CRE(Sist. Aislados) - S. Cruz,2024-01-01 09:00:00,12.367
CRE(Sist. Aislados) - S. Cruz,2024-01-01 10:00:00,12.995
CRE(Sist. Aislados) - S. Cruz,2024-01-01 11:00:00,13.687
CRE(Sist. Aislados) - S. Cruz,2024-01-01 12:00:00,14.602
CRE(Sist. Aislados) - S. Cruz,2024-01-01 13:00:00,15.224
CRE(Sist. Aislados) - S. Cruz,2024-01-01 14:00:00,15.709
CRE(Sist. Aislados) - S. Cruz,2024-01-01 15:00:00,16.099
CRE(Sist. Aislados) - S. Cruz,2024-01-01 16:00:00,16.205
CRE(Sist. Aislados) - S. Cruz,2024-01-01 17:00:00,15.929
CRE(Sist. Aislados) - S. Cruz,2024-01-01 18:00:00,15.6
CRE(Sist. Aislados) - S. Cruz,2024-01-01 19:00:00,15.767
CRE(Sist. Aislados) - S. Cruz,2024-01-01 20:00:00,19.145
CRE(Sist. Aislados) - S. Cruz,2024-01-01 21:00:00,19.493
CRE(Sist. Aislados) - S. Cruz,2024-01-01 22:00:00,19.189
CRE(Sist. Aislados) - S. Cruz,2024-01-01 23:00:00,18.632
CRE(Sist. Aislados) - S. Cruz,2024-01-01 23:59:00,17.597
EMDEECRUZ,2024-01-01 01:00:00,0.822
EMDEECRUZ,2024-01-01 02:00:00,0.812
EMDEECRUZ,2024-01-01 03:00:00,0.735
EMDEECRUZ,2024-01-01 04:00:00,0.705
EMDEECRUZ,2024-01-01 05:00:00,0.773
EMDEECRUZ,2024-01-01 06:00:00,0.688
EMDEECRUZ,2024-01-01 07:00:00,0.63
EMDEECRUZ,2024-01-01 08:00:00,0.598
EMDEECRUZ,2024-01-01 09:00:00,0.646
EMDEECRUZ,2024-01-01 10:00:00,0.779
EMDEECRUZ,2024-01-01 11:00:00,0.638
EMDEECRUZ,2024-01-01 12:00:00,0.654
EMDEECRUZ,2024-01-01 13:00:00,0.671
EMDEECRUZ,2024-01-01 14:00:00,0.768
EMDEECRUZ,2024-01-01 15:00:00,0.754
EMDEECRUZ,2024-01-01 16:00:00,0.798
EMDEECRUZ,2024-01-01 17:00:00,0.761
EMDEECRUZ,2024-01-01 18:00:00,0.731
EMDEECRUZ,2024-01-01 19:00:00,0.749
EMDEECRUZ,2024-01-01 20:00:00,0.917
EMDEECRUZ,2024-01-01 21:00:00,0.916
EMDEECRUZ,2024-01-01 22:00:00,0.914
EMDEECRUZ,2024-01-01 23:00:00,0.993
EMDEECRUZ,2024-01-01 23:59:00,1.297
DELAPAZ - La Paz,2024-01-01 01:00:00,168.709
DELAPAZ - La Paz,2024-01-01 02:00:00,142.842
DELAPAZ - La Paz,2024-01-01 03:00:00,135.122
DELAPAZ - La Paz,2024-01-01 04:00:00,117.553
DELAPAZ - La Paz,2024-01-01 05:00:00,113.419
DELAPAZ - La Paz,2024-01-01 06:00:00,115.444
DELAPAZ - La Paz,2024-01-01 07:00:00,105.29
DELAPAZ - La Paz,2024-01-01 08:00:00,109.401
DELAPAZ - La Paz,2024-01-01 09:00:00,110.437
DELAPAZ - La Paz,2024-01-01 10:00:00,114.76
DELAPAZ - La Paz,2024-01-01 11:00:00,121.873
DELAPAZ - La Paz,2024-01-01 12:00:00,126.867
DELAPAZ - La Paz,2024-01-01 13:00:00,129.713
DELAPAZ - La Paz,2024-01-01 14:00:00,125.729
DELAPAZ - La Paz,2024-01-01 15:00:00,121.081
DELAPAZ - La Paz,2024-01-01 16:00:00,124.576
DELAPAZ - La Paz,2024-01-01 17:00:00,129.579
DELAPAZ - La Paz,2024-01-01 18:00:00,134.182
DELAPAZ - La Paz,2024-01-01 19:00:00,139.337
DELAPAZ - La Paz,2024-01-01 20:00:00,164.941
DELAPAZ - La Paz,2024-01-01 21:00:00,175.207
DELAPAZ - La Paz,2024-01-01 22:00:00,167.708
DELAPAZ - La Paz,2024-01-01 23:00:00,155.342
DELAPAZ - La Paz,2024-01-01 23:59:00,140.104
DELAPAZ - San Buenaventura,2024-01-01 01:00:00,1.022
DELAPAZ - San Buenaventura,2024-01-01 02:00:00,0.989
DELAPAZ - San Buenaventura,2024-01-01 03:00:00,0.931
DELAPAZ - San Buenaventura,2024-01-01 04:00:00,0.868
DELAPAZ - San Buenaventura,2024-01-01 05:00:00,0.826
DELAPAZ - San Buenaventura,2024-01-01 06:00:00,0.793
DELAPAZ - San Buenaventura,2024-01-01 07:00:00,0.737
DELAPAZ - San Buenaventura,2024-01-01 08:00:00,0.684
DELAPAZ - San Buenaventura,2024-01-01 09:00:00,0.705
DELAPAZ - San Buenaventura,2024-01-01 10:00:00,0.745
DELAPAZ - San Buenaventura,2024-01-01 11:00:00,0.806
DELAPAZ - San Buenaventura,2024-01-01 12:00:00,0.854
DELAPAZ - San Buenaventura,2024-01-01 13:00:00,0.862
DELAPAZ - San Buenaventura,2024-01-01 14:00:00,0.884
DELAPAZ - San Buenaventura,2024-01-01 15:00:00,0.915
DELAPAZ - San Buenaventura,2024-01-01 16:00:00,0.905
DELAPAZ - San Buenaventura,2024-01-01 17:00:00,0.917
DELAPAZ - San Buenaventura,2024-01-01 18:00:00,0.898
DELAPAZ - San Buenaventura,2024-01-01 19:00:00,0.919
DELAPAZ - San Buenaventura,2024-01-01 20:00:00,1.119
DELAPAZ - San Buenaventura,2024-01-01 21:00:00,1.204
DELAPAZ - San Buenaventura,2024-01-01 22:00:00,1.151
DELAPAZ - San Buenaventura,2024-01-01 23:00:00,1.079
DELAPAZ - San Buenaventura,2024-01-01 23:59:00,0.978
DELAPAZ - Cumbre,2024-01-01 01:00:00,61.658
DELAPAZ - Cumbre,2024-01-01 02:00:00,61.191
DELAPAZ - Cumbre,2024-01-01 03:00:00,44.279
DELAPAZ - Cumbre,2024-01-01 04:00:00,45.338
DELAPAZ - Cumbre,2024-01-01 05:00:00,42.627
DELAPAZ - Cumbre,2024-01-01 06:00:00,38.59
DELAPAZ - Cumbre,2024-01-01 07:00:00,29.679
DELAPAZ - Cumbre,2024-01-01 08:00:00,32.57
DELAPAZ - Cumbre,2024-01-01 09:00:00,41.763
DELAPAZ - Cumbre,2024-01-01 10:00:00,51.214
DELAPAZ - Cumbre,2024-01-01 11:00:00,56.654
DELAPAZ - Cumbre,2024-01-01 12:00:00,60.181
DELAPAZ - Cumbre,2024-01-01 13:00:00,60.06
DELAPAZ - Cumbre,2024-01-01 14:00:00,59.23
DELAPAZ - Cumbre,2024-01-01 15:00:00,59.926
DELAPAZ - Cumbre,2024-01-01 16:00:00,55.221
DELAPAZ - Cumbre,2024-01-01 17:00:00,54.488
DELAPAZ - Cumbre,2024-01-01 18:00:00,58.255
DELAPAZ - Cumbre,2024-01-01 19:00:00,62.547
DELAPAZ - Cumbre,2024-01-01 20:00:00,75.857
DELAPAZ - Cumbre,2024-01-01 21:00:00,82.287
DELAPAZ - Cumbre,2024-01-01 22:00:00,77.759
DELAPAZ - Cumbre,2024-01-01 23:00:00,64.999
DELAPAZ - Cumbre,2024-01-01 23:59:00,52.748
ELFEC - Cochabamba,2024-01-01 01:00:00,151.207
ELFEC - Cochabamba,2024-01-01 02:00:00,138.191
ELFEC - Cochabamba,2024-01-01 03:00:00,126.775
ELFEC - Cochabamba,2024-01-01 04:00:00,118.768
ELFEC - Cochabamba,2024-01-01 05:00:00,114.897
ELFEC - Cochabamba,2024-01-01 06:00:00,108.457
ELFEC - Cochabamba,2024-01-01 07:00:00,90.522
ELFEC - Cochabamba,2024-01-01 08:00:00,92.703
ELFEC - Cochabamba,2024-01-01 09:00:00,99.299
ELFEC - Cochabamba,2024-01-01 10:00:00,105.782
ELFEC - Cochabamba,2024-01-01 11:00:00,112.195
ELFEC - Cochabamba,2024-01-01 12:00:00,117.218
ELFEC - Cochabamba,2024-01-01 13:00:00,119.107
ELFEC - Cochabamba,2024-01-01 14:00:00,119.708
ELFEC - Cochabamba,2024-01-01 15:00:00,119.073
ELFEC - Cochabamba,2024-01-01 16:00:00,118.394
ELFEC - Cochabamba,2024-01-01 17:00:00,117.929
ELFEC - Cochabamba,2024-01-01 18:00:00,118.691
ELFEC - Cochabamba,2024-01-01 19:00:00,121.98
ELFEC - Cochabamba,2024-01-01 20:00:00,161.533
ELFEC - Cochabamba,2024-01-01 21:00:00,175.978
ELFEC - Cochabamba,2024-01-01 22:00:00,168.036
ELFEC - Cochabamba,2024-01-01 23:00:00,154.538
ELFEC - Cochabamba,2024-01-01 23:59:00,138.339
ELFEC - Chimore - Carrasco,2024-01-01 01:00:00,18.567
ELFEC - Chimore - Carrasco,2024-01-01 02:00:00,17.813
