fecha,agente,cat,componente,de_hrs,a_hrs,descripcion
2006-08-17,EGSA,G,Central Aranjuez,07:07,17:00,Falla en la unidad de ARJ08
2006-08-18,SYNERGIA,G,Sistema Escalerani,00:00,04:25,Mayores aportes de agua.
2006-08-18,COBEE,G,Sistema Zongo.,09:00,13:00,Menores aportes laterales de agua a los previstos.
2006-08-20,SYNERGIA,G,Sistema Escalerani.,09:51,15:00,"Mayores aportes de agua a los previstos, en el sector de la cumbre."
2006-08-21,COBEE,G,Sistema Zongo,04:00,12:00,Mayores aportes laterales de agua a los previstos.
2006-08-21,COBEE,G,Sistema Zongo,22:00,24:00,Mayores aportes laterales de agua a los previstos.
2006-08-23,COBEE,G,Sistema Zongo,00:00,06:00,Menores aporrtes laterales de agua a los previstos.
2006-08-23,COBEE,G,Sistema Zongo,17:00,22:00,Menores aporrtes laterales de agua a los previstos.
2006-08-24,SYNERGIA,G,Sistema Escalerani,13:34,14:00,Menores aporrtes laterales de agua a los previstos.
2006-08-24,COBEE,G,Sistema Zongo,15:00,19:00,Menores aporrtes laterales de agua a los previstos.
2006-08-25,COBEE,G,Sistema Zongo,00:00,06:00,Menores aporrtes laterales de agua a los previstos.
2006-08-26,COBEE,G,Sistema Zongo,00:00,00:00,Menores aporrtes laterales de agua a los previstos.
2006-08-26,SYNERGIA,G,Sistema Escalerani,13:11,15:00,Mayores aportes de agua.
2006-08-28,SYNERGIA,G,Sistema Escalerani,13:33,15:00,Mayores aportes de agua.
2006-08-29,EGSA,G,Central Guaracachi,00:00,18:00,Suspensión en trabajos de GCH01.
2006-08-31,SYNERGIA,G,Sistema Escalerani.,12:38,15:00,Mayores aportes laterales a los previstos
2006-09-04,SYNERGIA,G,Sistema Escalerani.,15:00,15:45,Por regulación de caudales de parte de la Empresa SEMAPA.
2006-09-07,SYNERGIA,G,Sistema Escalerani.,13:38,15:00,Mayores aportes de agua a los previstos
2006-09-08,SYNERGIA,G,Sistema Escalerani.,13:46,15:00,Mayores aportes de agua a los previstos
2006-09-09,SYNERGIA,G,Sistema Escalerani.,11:09,15:00,Mayores aportes de agua a los previstos.
2006-09-10,SYNERGIA,G,Sistema Escalerani.,13:43,15:00,Mayores aportes de agua a los previstos.
2006-09-13,COBEE,G,Sistema Zongo,09:00,18:00,Menores aportes laterales de agua a los previstos.
2006-09-13,SYNERGIA,G,Sistema escalerani,11:38,15:00,Regulación de caudales por parte de la Empresa SEMAPA.
2006-09-15,COBEE,G,Sistema Zongo,07:00,12:00,Menores aportes laterales de agua a los previstos.
2006-09-16,SYNERGIA,G,Sistema escalerani,13:35,14:00,Regulación de caudales por parte de la Empresa SEMAPA.
2006-09-17,COBEE,G,Sistema Zongo,08:00,18:00,Mayores aportes laterales de agua a lo previsto.
2006-09-18,COBEE,G,Sistema Zongo,21:00,24:00,Mayores aportes laterales de agua a los previstos.
2006-09-22,COBEE,G,Sistema Zongo,01:00,06:00,Aportes laterales mayores a lo previsto.
2006-09-22,SYNERGIA,G,Sistema Escalerani,11:34,15:00,Aportes laterales mayores a lo previsto.
2006-09-22,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales mayores a lo previsto.
2006-09-23,EGSA,G,Central Guaracachi,06:00,18:00,Suspensión de trabajos de mantenimiento de GCH09
2006-09-23,SYNERGIA,G,Sistema Escalerani,12:01,15:00,Aportes laterales mayores a lo previsto.
2006-09-24,SYNERGIA,G,Sistema Escalerani,12:21,15:00,Aportes laterales mayores a lo previsto.
2006-09-25,SYNERGIA,G,Sistema Escalerani,12:35,15:00,Aportes laterales mayores a lo previsto.
2006-09-26,SYNERGIA,G,Sistema Escalerani,00:00,00:00,Aportes laterales mayores a lo previsto.
2006-09-27,SYNERGIA,G,Sistema Escalerani,00:00,02:30,Aportes laterales mayores a lo previsto.
2006-09-28,SYNERGIA,G,Sistema Escalerani,00:00,02:30,Aportes laterales mayores a lo previsto.
2006-09-28,SYNERGIA,G,Sistema Escalerani,13:18,15:00,Aportes laterales mayores a lo previsto.
2006-09-29,COBEE,G,Sistema Zongo,02:00,07:00,Aportes laterales mayores a lo previsto.
2006-09-29,SYNERGIA,G,Sistema Escalerani,13:18,15:00,Aportes laterales mayores a lo previsto.
2006-09-29,COBEE,G,Sistema Zongo,19:00,24:00,Aportes laterales mayores a lo previsto.
2006-09-30,SYNERGIA,G,Sistema Escalerani,13:08,14:00,Aportes laterales mayores a lo previsto.
2006-10-01,COBEE,G,Sistema Zongo,06:00,08:00,Aportes laterales mayores a lo previsto.
2006-10-01,COBEE,G,Sistema Zongo,13:00,18:00,Aportes laterales mayores a lo previsto.
2006-10-01,SYNERGIA,G,Sistema Escalerani,13:41,14:00,Aportes laterales mayores a lo previsto.
2006-10-02,SYNERGIA,G,Sistema Escalerani,12:58,15:00,Aportes laterales de agua mayores a los previstos.
2006-10-02,COBEE,G,Sistema Zongo,14:00,18:00,Aportes laterales de agua menores a los previstos.
2006-10-03,COBEE,G,Sistema Zongo,01:00,05:00,Aportes laterales de agua menores a los previstos.
2006-10-03,COBEE,G,Sistema Zongo,09:00,14:00,Aportes laterales de agua menores a los previstos.
2006-10-03,SYNERGIA,G,Sistema Escalerani,13:19,14:00,Aportes laterales de agua mayores a los previstos.
2006-10-03,COBEE,G,Sistema Zongo,16:00,18:00,Aportes laterales de agua menores a los previstos.
2006-10-04,COBEE,G,Sistema Zongo,03:00,06:00,Menores aportes laterales de agua a los previstos.
2006-10-04,COBEE,G,Sistema Zongo,13:00,16:00,Menores aportes laterales de agua a los previstos.
2006-10-04,SYNERGIA,G,Sistema Escalerani,13:49,14:00,Mayores aportes laterales de agua a los previstos.
2006-10-05,COBEE,G,Sistema Zongo,12:00,18:00,Menores aportes laterales de agua a los previstos
2006-10-05,SYNERGIA,G,Sistema Escalerani,12:09,14:00,Aportes laterales de agua mayores a los previstos.
2006-10-06,SYNERGIA,G,Sistema Escalerani,12:34,15:00,Aportes laterales de agua mayores a los previstos.
2006-10-07,SYNERGIA,G,Sistema Escalerani,12:53,14:00,Aportes laterales de agua mayores a los previstos.
2006-10-07,SYNERGIA,G,Sistema Escalerani,23:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-08,SYNERGIA,G,Sistema Escalerani,00:00,01:42,Aportes laterales de agua mayores a los previstos.
2006-10-11,COBEE,G,Sistema Zongo,00:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-10-11,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-12,COBEE,G,Sistema Zongo,02:00,05:00,Aportes laterales de agua mayores a los previstos.
2006-10-16,COBEE,G,Sistema Zongo,00:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-16,SYNERGIA,G,Sistema Escalerani,12:56,14:00,Aportes laterales de agua mayores a los previstos.
2006-10-17,COBEE,G,Sistema Zongo,00:00,09:00,Aportes laterales de agua mayores a los previstos.
2006-10-17,SYNERGIA,G,Sistema Escalerani,12:54,14:00,Aportes laterales de agua mayores a los previstos.
2006-10-17,COBEE,G,Sistema Zongo,13:00,16:00,Aportes laterales de agua mayores a los previstos.
2006-10-17,COBEE,G,Sistema Zongo,23:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-18,COBEE,G,Sistema Zongo,01:00,06:00,Aportes laterales de agua mayores a los previstos.
2006-10-18,SYNERGIA,G,Sistema Escalerani,12:48,14:00,Aportes laterales de agua mayores a los previstos.
2006-10-19,COBEE,G,Sistema Zongo,00:00,08:00,Aportes laterales de agua mayores a los previstos.
2006-10-19,COBEE,G,Sistema Zongo,12:00,17:00,Aportes laterales de agua mayores a los previstos.
2006-10-19,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-20,COBEE,G,Sistema Zongo,00:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-10-20,HB,G,Sistema Taquesi,10:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-20,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-21,COBEE,G,Sistema Zongo,00:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-21,HB,G,Sistema Taquesi,03:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-22,COBEE,G,Sistema Zongo,00:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-22,HB,G,Sistema Taquesi,00:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-23,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-23,HB,G,Sistema Taquesi,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-24,HB,G,Sistema Taquesi,01:00,01:00,Aportes laterales de agua mayores a los previstos.
2006-10-24,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-10-24,HB,G,Sistema Taquesi,13:00,18:00,Menores aportes laterales de agua a los previstos
2006-10-24,COBEE,G,Sistema Zongo,23:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-25,COBEE,G,Sistema Zongo,01:00,08:00,Aportes laterales de agua mayores a los previstos.
2006-10-25,COBEE,G,Sistema Zongo,13:00,16:00,Aportes laterales de agua mayores a los previstos.
2006-10-25,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-26,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-10-26,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-27,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-10-27,COBEE,G,Sistema Zongo,20:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-28,COBEE,G,Sistema Zongo,00:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-10-28,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-29,COBEE,G,Sistema Zongo,00:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-30,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-10-31,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-01,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-02,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-03,COBEE,G,Sistema Zongo,01:00,09:00,Aportes laterales de agua mayores a los previstos.
2006-11-03,COBEE,G,Sistema Zongo,11:00,16:00,Aportes laterales de agua mayores a los previstos.
2006-11-03,COBEE,G,Sistema Zongo,20:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-04,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-04,SYNERGIA,G,Sistema Escalerani,11:06,13:00,Aportes de agua mayores a los previstos.
2006-11-06,COBEE,G,Sistema Zongo,01:00,06:00,Aportes laterales de agua mayores a los previstos.
2006-11-06,SYNERGIA,G,Sistema Escalerani,12:53,14:00,Aportes de agua mayores a los previstos.
2006-11-07,COBEE,G,Sistema Zongo,01:00,10:00,Aportes laterales de agua mayores a los previstos.
2006-11-07,HB,G,Sistema Taquesi,03:33,24:00,Aportes de agua mayores a los previstos.
2006-11-07,SYNERGIA,G,Sistema Escalerani,09:55,14:00,Aportes de agua mayores a los previstos.
2006-11-07,COBEE,G,Sistema Zongo,13:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-07,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-08,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-08,SYNERGIA,G,Sistema Escalerani,11:09,13:00,Aportes de agua mayores a los previstos.
2006-11-08,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-09,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-09,SYNERGIA,G,Sistema Escalerani,11:54,13:00,Aportes de agua mayores a los previstos.
2006-11-09,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-10,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-10,SYNERGIA,G,Sistema Escalerani,12:32,13:00,Aportes de agua mayores a los previstos.
2006-11-10,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-11,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-11,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-12,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-12,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-13,COBEE,G,Sistema Zongo,01:00,18:30,Aportes laterales de agua mayores a los previstos.
2006-11-13,HB,G,Sistema Taquesi,01:00,24:00,Menores aportes de agua a los previstos.
2006-11-13,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-14,COBEE,G,Sistema Zongo,00:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-14,COBEE,G,Sistema Zongo,23:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-15,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-15,COBEE,G,Sistema Zongo,23:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-16,COBEE,G,Sistema Zongo,01:00,09:00,Aportes laterales de agua mayores a los previstos.
2006-11-16,COBEE,G,Sistema Zongo,13:00,14:00,Aportes laterales de agua mayores a los previstos.
2006-11-16,COBEE,G,Sistema Zongo,17:00,19:00,Aportes laterales de agua mayores a los previstos.
2006-11-16,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-17,COBEE,G,Sistema Zongo,00:01,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-18,COBEE,G,Sistema Zongo,00:00,19:00,Aportes laterales de agua mayores a los previstos.
2006-11-18,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-19,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-20,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-20,HB,G,Sistema Taquesi,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-21,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-21,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-22,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-22,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-22,HB,G,Sistema Taquesi,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-23,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-23,HB,G,Sistema Taquesi,09:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-23,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-24,COBEE,G,Sistema Zongo,00:30,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-25,COBEE,G,Sistema Zongo,00:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-25,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-26,COBEE,G,Sistema Zongo,00:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-27,COBEE,G,Sistema Zongo,01:00,19:00,Aportes laterales de agua mayores a los previstos.
2006-11-27,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-28,HB,G,Sistema Taquesi,01:00,06:00,Menores aportes laterales de agua a los previstos
2006-11-28,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-28,HB,G,Sistema Taquesi,13:00,18:00,Menores aportes laterales de agua a los previstos
2006-11-29,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-29,HB,G,Sistema Taquesi,15:00,18:00,Menores aportes laterales de agua a los previstos
2006-11-29,HB,G,Sistema Taquesi,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-29,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-30,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-11-30,HB,G,Sistema Taquesi,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-11-30,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-01,HB,G,Sistema Taquesi,01:00,06:00,Aportes laterales de agua mayores a los previstos.
2006-12-01,COBEE,G,Sistema Zongo,01:00,19:00,Aportes laterales de agua mayores a los previstos.
2006-12-01,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-02,COBEE,G,Sistema Zongo,01:00,19:00,Aportes laterales de agua mayores a los previstos.
2006-12-02,HB,G,Sistema Taquesi,02:00,07:00,Menores aportes laterales de agua a los previstos.
2006-12-02,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-03,COBEE,G,Sistema Zongo,01:00,19:00,Aportes laterales de agua mayores a los previstos.
2006-12-03,COBEE,G,Sistema Zongo,21:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-04,HB,G,Sistema Taquesi,01:00,02:00,Aportes laterales de agua mayores a los previstos.
2006-12-04,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-04,HB,G,Sistema Taquesi,06:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-12-04,HB,G,Sistema Taquesi,23:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-05,COBEE,G,Sistema Zongo,01:00,06:00,Aportes laterales de agua mayores a los previstos.
2006-12-05,COBEE,G,Sistema Zongo,23:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-06,SYNERGIA,G,Sistema Escalerani,01:00,02:00,Aportes de agua mayores a los previstos.
2006-12-06,HB,G,Sistema Taquesi,01:00,06:00,Menores aportes laterales de agua a los previstos
2006-12-06,COBEE,G,Sistema Zongo,01:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-06,CORANI,G,Sistema Corani,07:00,09:00,Mayores aportes laterales en río Vinto
2006-12-06,SYNERGIA,G,Sistema Escalerani,12:00,13:00,Aportes de agua mayores a los previstos.
2006-12-07,COBEE,G,Sistema Zongo,07:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-07,SYNERGIA,G,Sistema Escalerani,11:10,13:00,Aportes de agua mayores a los previstos.
2006-12-08,COBEE,G,Sistema Zongo,07:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-08,SYNERGIA,G,Sistema Escalerani,08:32,13:00,Aportes de agua mayores a los previstos.
2006-12-09,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-12-09,SYNERGIA,G,Sistema Escalerani,08:46,13:00,Aportes de agua mayores a los previstos.
2006-12-09,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-10,COBEE,G,Sistema Zongo,01:00,18:00,Aportes laterales de agua mayores a los previstos.
2006-12-10,SYNERGIA,G,Sistema Escalerani,10:08,13:00,Aportes de agua mayores a los previstos.
2006-12-10,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-11,COBEE,G,Sistema Zongo,01:00,19:00,Aportes laterales de agua mayores a los previstos.
2006-12-11,SYNERGIA,G,Sistema Escalerani,10:16,13:00,Aportes de agua mayores a los previstos.
2006-12-11,COBEE,G,Sistema Zongo,22:00,24:00,Aportes laterales de agua mayores a los previstos.
2006-12-12,COBEE,G,Sistema Zongo,01:00,19:00,Aportes laterales de agua mayores a los previstos.
