fecha,agente,cat,componente,de_hrs,a_hrs,descripcion
2006-04-21,COBEE,G,Sistema Zongo,00:00,24:00,Mayor generación por concentración de reserva
2006-04-22,COBEE,G,Sistema Zongo,09:00,12:00,Menores aportes de agua a los previstos.
2006-05-02,SYNERGIA,G,Sistema Escalerani.,17:00,18:00,Mayores aportes de agua a lo previsto.
2006-05-03,COBEE,G,Sistema Zongo,08:30,16:40,Mayores aportes de agua a lo previsto en embalse Zongo.
2006-05-03,SYNERGIA,G,Sistema Escalerani.,22:00,22:30,Mayores aportes de agua a lo previsto.
2006-05-12,COBEE,G,Sistema Miguilla.,00:00,07:00,Menores aportes laterales de agua a los previstos.
2006-05-13,COBEE,G,Sistema Zongo.,12:00,17:00,Menores aportes laterales de agua a los previstos.
2006-05-25,COBEE,G,Sistema Miguillas,09:00,24:00,Menores aportes laterales de agua a los previstos.
2006-05-26,COBEE,G,Valle de Miguilla,00:00,16:00,Menores aportes laterales de agua a los previstos.
2006-05-28,COBEE,G,Sistema Miguillas,01:00,24:00,Mayores aportes laterales de agua a los previstos.
2006-06-02,COBEE,G,Sistema Zongo.,12:00,18:00,Menores aportes laterales de agua a los previstos.
2006-06-03,COBEE,G,Sistema Zongo.,04:00,17:00,Mayores aportes laterales de agua a los previstos.
2006-06-05,COBEE,G,Sistema Zongo.,14:00,17:00,Menores aportes laterales de agua a los previstos.
2006-06-06,COBEE,G,Sistema Zongo.,14:00,18:00,Menores aportes laterales de agua a los previstos.
2006-06-09,COBEE,G,Sistema Zongo.,00:00,05:00,Mayores aportes laterales de agua a los previstos.
2006-06-11,COBEE,G,Sistema Zongo.,21:00,24:00,Mayores aportes laterales de agua a los previstos.
2006-06-12,COBEE,G,Sistema Zongo.,01:00,06:00,Mayores aportes laterales de agua a los previstos.
2006-06-13,COBEE,G,Sistema Zongo.,01:00,07:00,Mayores aportes laterales de agua a los previstos.
2006-06-13,COBEE,G,Sistema Zongo.,10:00,14:00,Mayores aportes laterales de agua a los previstos.
2006-06-13,COBEE,G,Sistema Zongo.,22:00,24:00,Mayores aportes laterales de agua a los previstos.
2006-06-14,COBEE,G,Sistema Zongo.,01:00,07:00,Mayores aportes laterales de agua a los previstos.
2006-06-15,COBEE,G,Sistema Zongo.,01:00,00:00,Mayores aportes laterales de agua a los previstos.
2006-06-16,COBEE,G,Sistema Zongo.,05:00,06:00,Mayores aportes laterales de agua a los previstos.
2006-06-16,COBEE,G,Sistema Zongo.,10:00,16:00,Mayores aportes laterales de agua a los previstos.
2006-06-17,COBEE,G,Sistema Zongo.,05:00,06:00,Mayores aportes laterales de agua a los previstos.
2006-06-17,COBEE,G,Sistema Zongo.,10:00,16:00,Mayores aportes laterales de agua a los previstos.
2006-06-18,COBEE,G,Sistema Zongo,08:00,17:00,Mayores aportes laterales de agua a los previstos.
2006-06-18,COBEE,G,Sistema Zongo,21:00,24:00,Mayores aportes laterales de agua a los previstos.
2006-06-21,COBEE,G,Sistema Zongo,03:00,06:00,Mayores aportes a los previstos.
2006-06-22,COBEE,G,Sistema Zongo,02:00,05:00,Mayores aportes laterales de agua a los previstos.
2006-06-28,COBEE,G,Valle de Zongo,01:00,07:00,Aportes laterales mayores a los previstos.
2006-06-28,COBEE,G,Valle de Zongo,13:00,15:00,Aportes laterales mayores a los previstos.
2006-06-28,COBEE,G,Valle de Zongo,20:00,24:00,Aportes laterales mayores a los previstos.
2006-06-29,COBEE,G,Valle de Zongo,03:00,07:00,Aportes laterales mayores a los previstos.
2006-06-29,COBEE,G,Valle de Zongo,10:00,11:00,Aportes laterales mayores a los previstos.
2006-06-29,COBEE,G,Valle de Zongo,13:00,17:00,Aportes laterales mayores a los previstos.
2006-06-29,COBEE,G,Valle de Zongo,20:00,24:00,Aportes laterales mayores a los previstos.
2006-07-03,COBEE,G,Sistema Zongo,00:00,23:00,Postergación de trabajos en C. CHU.
2006-07-04,COBEE,G,Valle de Zongo,17:00,18:00,Para evitar vertimiento durante las pruebas de SRO02.
2006-07-07,SYNERGIA,G,Sistema Escalerani.,15:42,17:00,Mayores aportes de agua a los previstos.
2006-07-08,SYNERGIA,G,Sistema Escalerani.,15:39,17:00,Mayores aportes de agua a los previstos.
2006-07-09,SYNERGIA,G,Sistema Escalerani.,15:45,17:00,Mayores aportes de agua a los previstos.
2006-07-10,SYNERGIA,G,Sistema Escalerani.,15:45,17:00,Mayores aportes de agua a los previstos.
2006-07-11,SYNERGIA,G,Sistema Escalerani.,15:40,17:00,Mayores aportes de agua a los previstos.
2006-07-12,COBEE,G,Sistema Zongo.,13:00,17:00,Mayor disponibilidad de agua por pruebas en unidad SRO02.
2006-07-12,SYNERGIA,G,Sistema escalerani.,15:46,17:00,Mayores aportes de agua a los previstos.
2006-07-13,SYNERGIA,G,Sistema Escalerani.,15:45,17:00,Mayores aportes de agua a los previstos.
2006-07-14,COBEE,G,Sistema Zongo,10:00,12:00,Mayores aportes de agua a los previstos.
2006-07-14,SYNERGIA,G,Sistema Escalerani.,15:46,17:00,Mayores aportes de agua a los previstos.
2006-07-15,COBEE,G,Sistema Zongo,12:00,17:00,Mayores aportes de agua a los previstos.
2006-07-15,SYNERGIA,G,Sistema Escalerani.,15:39,16:00,Mayores aportes de agua a los previstos.
2006-07-15,COBEE,G,Sistema Zongo,19:00,21:00,Mayores aportes de agua a los previstos.
2006-07-16,SYNERGIA,G,Sistema Escalerani.,15:37,16:00,Mayores aportes de agua a los previstos.
2006-07-17,COBEE,G,Sistema Zongo.,12:00,17:00,Mayores aportes por pruebas de la unidad de SRO02
2006-07-17,SYNERGIA,G,Sistema Escalerani.,15:34,16:00,Mayores aportes de agua a los previstos.
2006-07-21,COBEE,G,Sistema Zongo.,01:00,07:00,Menores aportes laterales de agua a los previstos.
2006-07-25,EGSA,G,Central karachipampa,15:13,24:00,Indisponibilidad de la unidad
2006-07-25,COBEE,G,Central Santa Rosa,19:00,21:00,Indisponibilidad de unidades
2006-07-29,VHE,G,Central Carrasco,17:33,24:00,Disponibilidad de la unidad de CAR02
2006-08-04,EGSA,G,Central Karachipampa,07:00,24:00,Indisponibilidad de la unidad de KAR.
2006-08-06,COBEE,G,Sistema Zongo.,18:00,21:00,Indisponibilidad de la unidad SRO02.
2006-08-08,COBEE,G,Sistema Zongo.,14:00,18:00,Menores aportes laterales de agua a los previstos.
2006-08-09,SYNERGIA,G,Sistema Escalerani.,11:49,16:00,Mayores aportes laterales de agua a los previstos.
2006-08-10,SYNERGIA,G,Sistema Escalerani.,10:49,15:00,Mayores aportes laterales de agua a los previstos.
2006-08-11,EGSA,G,Central Karachipampa,10:12,24:00,Disponibilidad de la unidad
2006-08-13,COBEE,G,Sistema Zongo.,00:00,06:00,Menores aportes laterales de agua a los previstos.
2006-08-13,SYNERGIA,G,Sistema Escalerani.,13:28,15:00,Mayores aportes laterales de agua a los previstos.
2006-08-14,COBEE,G,Sistema Zongo.,01:00,07:00,Menores aportes laterales de agua a los previstos.
2006-08-14,SYNERGIA,G,Sistema Escalerani.,12:43,15:00,Mayores aportes laterales de agua a los previstos.
2006-08-14,COBEE,G,Sistema Zongo.,15:00,22:00,Menores aportes laterales de agua a los previstos.
2006-08-16,COBEE,G,Sistema Zongo.,10:00,12:00,Menores aportes laterales de agua a los previstos.
2006-08-17,COBEE,G,Sistema Zongo,07:00,12:00,Mayores aportes a agua a los previstos
